지점명	미세먼지농도	년도	월자
부산	39	17	9
대구	36	17	9
인천	38	17	9
광주	34	17	9
대전	37	17	9
울산	36	17	9
서울	29	17	10
부산	32	17	10
대구	32	17	10
인천	33	17	10
광주	33	17	10
대전	36	17	10
울산	29	17	10
서울	42	17	11
부산	50	17	11
대구	52	17	11
인천	41	17	11
광주	50	17	11
대전	51	17	11
울산	46	17	11
서울	50	17	12
부산	46	17	12
대구	46	17	12
인천	45	17	12
광주	44	17	12
대전	49	17	12
울산	38	17	12
서울	52	18	1
부산	45	18	1
대구	47	18	1
인천	48	18	1
광주	45	18	1
대전	56	18	1
울산	40	18	1
서울	53	18	2
부산	52	18	2
대구	48	18	2
인천	49	18	2
광주	50	18	2
대전	56	18	2
울산	47	18	2
서울	52	18	3
부산	44	18	3
대구	43	18	3
인천	49	18	3
광주	48	18	3
대전	52	18	3
울산	40	18	3
서울	52	18	4
부산	63	18	4
대구	56	18	4
인천	46	18	4
광주	56	18	4
대전	60	18	4
울산	64	18	4
서울	42	18	5
부산	44	18	5
대구	40	18	5
인천	40	18	5
광주	40	18	5
대전	47	18	5
울산	45	18	5
서울	37	18	6
부산	41	18	6
대구	36	18	6
인천	34	18	6
광주	41	18	6
대전	38	18	6
울산	42	18	6
서울	24	18	7
부산	37	18	7
대구	27	18	7
인천	26	18	7
광주	26	18	7
대전	26	18	7
울산	39	18	7
서울	22	18	8
부산	28	18	8
대구	22	18	8
인천	25	18	8
광주	24	18	8
대전	22	18	8
울산	25	18	8
서울	20	18	9
부산	26	18	9
대구	24	18	9
인천	24	18	9
광주	25	18	9
대전	22	18	9
울산	26	18	9
서울	28	18	10
부산	32	18	10
대구	32	18	10
인천	33	18	10
광주	34	18	10
대전	31	18	10
울산	31	18	10
서울	52	18	11
부산	47	18	11
대구	57	18	11
인천	55	18	11
광주	59	18	11
대전	63	18	11
울산	47	18	11
서울	43	18	12
부산	40	18	12
대구	47	18	12
인천	45	18	12
광주	43	18	12
대전	51	18	12
울산	35	18	12
